State,Temp,Sun,Abbrev
Alabama,62.8,58,AL
Arizona,60.3,85,AZ
Arkansas,60.4,61,AR
California,59.4,68,CA
Colorado,45.1,71,CO
Connecticut,49,56,CT
Delaware,55.3,58,DE
Florida,70.7,66,FL
Georgia,63.5,66,GA
Idaho,44.4,64,ID
Illinois,51.8,56,IL
Indiana,51.7,55,IN
Iowa,47.8,59,IA
Kansas,54.3,65,KS
Kentucky,55.6,56,KY
Louisiana,66.4,57,LA
Maine,41,57,ME
Maryland,54.2,57,MD
Massachusetts,47.9,58,MA
Michigan,44.4,51,MI
Minnesota,41.2,58,MN
Mississippi,63.4,61,MS
Missouri,54.5,60,MO
Montana,42.7,59,MT
Nebraska,48.8,61,NE
Nevada,49.9,79,NV
New Hampshire,43.8,54,NH
New Jersey,52.7,56,NJ
New Mexico,53.4,76,NM
New York,45.4,46,NY
North Carolina,59,60,NC
North Dakota,40.4,59,ND
Ohio,50.7,50,OH
Oklahoma,59.6,68,OK
Oregon,48.4,48,OR
Pennsylvania,48.8,58,PA
Rhode Island,50.1,58,RI
South Carolina,62.4,64,SC
South Dakota,45.2,63,SD
Tennessee,57.6,56,TN
Texas,64.8,61,TX
Utah,48.6,66,UT
Vermont,42.9,49,VT
Virginia,55.1,63,VA
Washington,48.3,47,WA
West Virginia,51.8,60,WV
Wisconsin,43.1,54,WI
Wyoming,42,68,WY
